sid	sentence	disrel	relphrase	arg1	arg2	annotationOpt
59	Living things depend on energy from the Sun.	example		Sun	Living things	
60	Sunlight is the main source of energy for the water cycle.	requirement		Sunlight	the water cycle	
61	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	effect		a hand lens	get a better look at the spots	
62	Rotation of Earth causes day and night.	part		Rotation of Earth	day and night	
63	Meters can be used to describe an objects length.	cause		Meters	describe an objects length	
64	Mechanical energy is being used when a person pushes a wooden block across the floor.	example		Mechanical energy	pushes a wooden block across the floor	
65	Having blue eyes is inherited rather than learned.	purpose		Having blue eyes	inherited	
66	A bicycle is nonliving.	requirement		bicycle	nonliving	
67	A decomposer is an organism that recycles nutrients.	part		decomposer	recycles nutrients	
68	Flower of a plant produces the seeds.	part		Flower of a plant	seeds	
69	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	purpose		special feature	adapt to their environment	
70	A student measured the volume of water in a pan. The student boiled the water for thirty minutes and then measured the volume of the water again. The volume of water most likely decreased.	condition		The student boiled the water	decreased	
71	When a baby shakes a rattle, it makes a noise. Mechanical energy was changed to sound energy.	part		a baby shakes a rattle	Mechanical energy was changed to sound energy	
72	An objects hardness, taste, and texture are examples of properties.	part		hardness, taste, and texture	properties	
73	Animals get energy for growth and repair from food.	enable		get energy	growth and repair from food	
74	A ball is tossed up in the air and it comes back down. The ball comes back down because of gravity.	condition		ball comes back down	gravity	
75	A turtle eating worms is an example of taking in nutrients.	purpose		A turtle eating worms	taking in nutrients	
76	The main function of a duck's webbed feet is to help the duck swim in water.	condition		a duck's webbed feet	swim in water	
77	Since green plants make their own food, they are called producers.	purpose		green plants make their own food	producers	
78	A decrease in air temperature from 60°F to 35°F would most likely cause a person to shiver.	part		A decrease in air temperature	a person to shiver	
79	Growing thicker fur in the winter helps some animals to keep warm.	effect		Growing thicker fur	keep warm	
80	Water freezing is an example of a liquid changing to a solid.	example		Water freezing	a liquid changing to a solid	
81	A person does use mechanical energy to pedal a bicycle.	condition		mechanical energy	pedal a bicycle	
82	A turtle eating worms is an example of taking in nutrients.	condition		A turtle eating worms	taking in nutrients	
83	It takes one week for Earth to rotate on its axis seven times.	purpose		Earth to rotate	one week	
84	Humans depend on water from the environment.	example		water	humans	
85	A snowy field is an environment in which a white rabbit would be best protected from predators.	condition		snowy field	be best protected from predators	
86	A thick fur would best help a bear to survive a winter in New York State.	requirement		thick fur	survive in winter	
87	Fourth graders are planning a roller-skate race. Blacktop would be the best for this race.	part		Blacktop	this race	
88	A meter describes an object's length.	example		meter	describes an object's length	
89	One way animals usually respond to a sudden drop in temperature is by shivering.	condition		shivering	respond to a sudden drop in temperature	
90	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	enable		heat that produces the smoke	friction	
91	Sleet and hail are forms of precipitation.	cause		Sleet and hail	precipitation	
92	Exercising every day is an example of a good health habit.	part		Exercising every day	good health habit	
93	Growth causes the leaves of a plant to become larger.	effect		Growth	leaves of a plant to become larger	
94	All animals do need water, air, and food in order to survive.	cause		water, air and food	survive	
95	A puddle drying in the sun is the best example of evaporation.	part		puddle drying in the sun	evaporation	
96	The functions of a plant's roots are to support the plant and take in water and nutrients.	purpose		roots	support the plant and take in water and nutrients	
97	Winter season is a season of the year during which a rabbits fur would be thickest.	part		Winter season	a rabbits fur would be thickest	
98	An objects hardness, taste, and texture are examples of properties.	purpose		hardness, taste, and texture	properties	
99	Centimeters can be used to describe the length of a desk.	purpose		Centimeters	describe the length of a desk	
100	The main function of scales on a fish is to protect the fish.	cause		scales of a fish	protect the fish	
101	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	example		a hand lens	get a better look at the spots	
102	Winter season is a season of the year during which a rabbits fur would be thickest.	purpose		Winter season	a rabbits fur would be thickest	
103	Since green plants make their own food, they are called producers.	effect		green plants make their own food	producers	
104	Cutting down a rain forest is most harmful to the natural environment.	effect		Cutting down a rain forest	natural environment	
105	During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of an observation.	part		This	observation	
106	Green plants get the energy they need to make food from sunlight.	example		sunlight	make food	
107	A decomposer is an organism that breaks down dead plants and animals.	part		decomposer	breaks down dead plants and animals	
108	Centimeters can be used to describe the length of a desk.	effect		Centimeters	describe the length of a desk	
109	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	part		heat that produces the smoke	friction	
110	Gravity causes a marble to sink to the bottom of a glass of water.	requirement		Gravity	a marble to sink to the bottom of a glass of water	
111	During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called camouflage.	cause		adaptation	camouflag	
112	When a baby shakes a rattle, it makes a noise. Mechanical energy was changed to sound energy.	requirement		a baby shakes a rattle	Mechanical energy was changed to sound energy	
113	When a person speaks into a telephone, sound energy is changed mostly into electrical energy.	example		speaks into a telephone	sound energy is changed into electricity energy	
114	Green plants get the energy they need to make food from sunlight.	enable		sunlight	make food	
115	Living things depend on energy from the Sun.	requirement		Sun	Living things	
116	Meters can be used to describe an objects length.	condition		Meters	describe an objects length	
117	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	enable		special feature	adapt to their environment	
118	Many birds fly south for the winter. This adaptation is called migration.	purpose		Many birds fly south for the winter	migration	
119	Since green plants make their own food, they are called producers.	cause		green plants make their own food	producers	
120	A bicycle is nonliving.	effect		bicycle	nonliving	
121	Gravity causes rocks to roll downhill.	example		Gravity	rocks to roll downhill	
122	A metal fork is the best conductor of electricity.	condition		a metal fork	conductor of electricity	
123	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	purpose		heat that produces the smoke	friction	
124	A graduated cylinder would be best to measure the volume of a liquid.	example		A graduated cylinder	measure the volume of a liquid	
125	A student drops a ball. Gravity causes the ball to fall to the ground.	requirement		Gravity	the ball to fall to the ground	
126	A student has a ball of clay that sinks when placed in a pan of water. He should change shape to make the clay float.	example		change shape	make the clay float	
127	A puddle drying in the sun is the best example of evaporation.	effect		puddle drying in the sun	evaporation	
128	A student puts two identical plants in the same type and amount of soil. She gives them the same amount of water. She puts one of these plants near a sunny window and the other in a dark room. This experiment tests how the plants respond to light.	effect		experiment tests	how the plants respond to light	
129	Heat is needed to change water from a liquid to a gas.	example		Heat	change water from a liquid to a gas	
130	The main function of scales on a fish is to protect the fish.	requirement		scales of a fish	protect the fish	
131	A ball is tossed up in the air and it comes back down. The ball comes back down because of gravity.	requirement		ball comes back down	gravity	
132	Centimeters can be used to describe the length of a desk.	condition		Centimeters	describe the length of a desk	
133	Gravity causes a marble to sink to the bottom of a glass of water.	condition		Gravity	a marble to sink to the bottom of a glass of water	
134	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. If the day were cool instead of hot, the rainwater in the pan would have disappeared slower.	requirement		day were cool	disappeared slower	
135	During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of an observation.	enable		This	observation	
136	During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called camouflage.	enable		adaptation	camouflag	
137	Gravity causes rocks to roll downhill.	enable		Gravity	rocks to roll downhill	
138	Temperature and sky conditions are both used to describe weather.	cause		Temperature and sky conditions	describe	
139	Water freezing is an example of a liquid changing to a solid.	enable		Water freezing	a liquid changing to a solid	
140	One way animals usually respond to a sudden drop in temperature is by shivering.	example		shivering	respond to a sudden drop in temperature	
141	An objects hardness, taste, and texture are examples of properties.	example		hardness, taste, and texture	properties	
142	A girl eating an apple describes an organism taking in nutrients.	cause		A girl eating an apple	an organism taking in nutrients	
143	Living things depend on energy from the Sun.	enable		Sun	Living things	
144	Animals get energy for growth and repair from food.	example		get energy	growth and repair from food	
145	A mother hen clucks loudly when danger is near and her chicks quickly gather around her. Sound helps the chicks receive this warning about danger from their mother.	effect		Sound	receive this warning about danger	
146	Cutting down a rain forest is most harmful to the natural environment.	condition		Cutting down a rain forest	natural environment	
147	Fourth graders are planning a roller-skate race. Blacktop would be the best for this race.	effect		Blacktop	this race	
148	A pumpkin is a fruit.	part		pumpkin	a fruit	
149	A meter describes an object's length.	effect		meter	describes an object's length	
150	Some birds fly south before winter each year. This is an example of migration.	purpose		Some birds fly south before winter	migration	
151	Sight can be used to determine an objects ability to reflect light.	requirement		Sight	determine an objects ability to reflect light	
152	The main function of scales on a fish is to protect the fish.	condition		scales of a fish	protect the fish	
153	Water is usually found in nature as a liquid, solid, and gas.	effect		Water	liquid, solid, and gas	
154	Sunlight is the main source of energy for the water cycle.	purpose		Sunlight	the water cycle	
155	The main function of a duck's webbed feet is to help the duck swim in water.	purpose		a duck's webbed feet	swim in water	
156	Fourth graders are planning a roller-skate race. Blacktop would be the best for this race.	example		Blacktop	this race	
157	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. If the day were cool instead of hot, the rainwater in the pan would have disappeared slower.	part		day were cool	disappeared slower	
158	An iron nail is the best conductor of electricity.	effect		iron nail	conductor of electricity	
159	During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called camouflage.	effect		adaptation	camouflag	
160	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	requirement		special feature	adapt to their environment	
161	An objects hardness, taste, and texture are examples of properties.	effect		hardness, taste, and texture	properties	
162	A ball is tossed up in the air and it comes back down. The ball comes back down because of gravity.	enable		ball comes back down	gravity	
163	If an object is attracted to a magnet, the object is most likely made of metal.	enable		an object is attracted to a magnet	the object is most likely made of metal	
164	Many birds fly south for the winter. This adaptation is called migration.	requirement		Many birds fly south for the winter	migration	
165	The main function of a duck's webbed feet is to help the duck swim in water.	enable		a duck's webbed feet	swim in water	
166	Some birds fly south before winter each year. This is an example of migration.	cause		Some birds fly south before winter	migration	
167	Grow and reproduce are carried out by all species of living things.	condition		Grow and reproduce	carried by all species of living things	
168	A puppy can inherit spotted fur from its parents.	condition		puppy	spotted fur from its parents	
169	Heat energy causes an ice cube to melt.	requirement		Heat energy	an ice cube to melt	
170	Living things depend on energy from the Sun.	cause		Sun	Living things	
171	A bird migrating south is an example of an animal adapting to a change in the environment.	condition		A bird migrating south	adapting to a change in the environment	
172	A stove is used to boil water in a pan is an example in which a thermometer could be used to show that heat energy is being transferred.	requirement		A stove is used to boil water in a pan	a thermometer could be used to show that heat energy is being transferred	
173	A claws for obtaining food is correctly paired with its function.	enable		claws	obtaining food	
174	When a baby shakes a rattle, it makes a noise. Mechanical energy was changed to sound energy.	purpose		a baby shakes a rattle	Mechanical energy was changed to sound energy	
175	Having blue eyes is inherited rather than learned.	requirement		Having blue eyes	inherited	
176	Water freezing is an example of a liquid changing to a solid.	condition		Water freezing	a liquid changing to a solid	
177	Resting is necessary for humans to maintain good health.	cause		resting	maintain good health	
178	A student puts two identical plants in the same type and amount of soil. She gives them the same amount of water. She puts one of these plants near a sunny window and the other in a dark room. This experiment tests how the plants respond to light.	part		experiment tests	how the plants respond to light	
179	A student should use a balance to compare the masses of two small rocks.	purpose		balance	compare the masses of two small rocks	
180	A decomposer is an organism that recycles nutrients.	cause		decomposer	recycles nutrients	
181	Some butterflies live an average of two weeks. This period of time is called a life span.	effect		live a average of two weeks	life span	
182	A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to hot temperatures.	cause		opens its mouth and lets its tongue hang out	adjust to hot temperatures	
183	Gravity causes rocks to roll downhill.	purpose		Gravity	rocks to roll downhill	
184	The functions of a plant's roots are to support the plant and take in water and nutrients.	enable		roots	support the plant and take in water and nutrients	
185	A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because light energy can be reflected from one object to another.	requirement		light energy can be reflected from one object to another	see the signal	
186	A student should use a balance to compare the masses of two small rocks.	condition		balance	compare the masses of two small rocks	
187	A student has a ball of clay that sinks when placed in a pan of water. He should change shape to make the clay float.	requirement		change shape	make the clay float	
188	Apple trees can live for many years, but bean plants usually live for only a few months. This statement suggests that different plants have different life spans.	enable		statement	different plants have different life spans	
189	It takes one week for Earth to rotate on its axis seven times.	requirement		Earth to rotate	one week	
190	A snowy field is an environment in which a white rabbit would be best protected from predators.	requirement		snowy field	be best protected from predators	
191	A graduated cylinder would be best to measure the volume of a liquid.	part		A graduated cylinder	measure the volume of a liquid	
192	In New York State, the shortest period of daylight occurs during December.	purpose		the shortest period of daylight	during December	
193	An example of a learned trait is being able to read.	cause		a learned trait	being able to read	
194	In New York State, the longest period of daylight occurs during June.	cause		the longest period of daylight	during June	
195	A bicycle is nonliving.	part		bicycle	nonliving	
196	If an object is attracted to a magnet, the object is most likely made of metal.	purpose		an object is attracted to a magnet	the object is most likely made of metal	
197	A student should use a balance to compare the masses of two small rocks.	requirement		balance	compare the masses of two small rocks	
198	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. If the day were cool instead of hot, the rainwater in the pan would have disappeared slower.	purpose		day were cool	disappeared slower	
199	Gravity causes a marble to sink to the bottom of a glass of water.	cause		Gravity	a marble to sink to the bottom of a glass of water	
200	A human offspring can inherit blue eyes.	part		A human offspring	blue eyes	
201	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	cause		special feature	adapt to their environment	
202	Water freezing is an example of a liquid changing to a solid.	cause		Water freezing	a liquid changing to a solid	
203	Sight can be used to determine an objects ability to reflect light.	enable		Sight	determine an objects ability to reflect light	
204	A puppy can inherit spotted fur from its parents.	enable		puppy	spotted fur from its parents	
205	The main function of a duck's webbed feet is to help the duck swim in water.	cause		a duck's webbed feet	swim in water	
206	Growing thicker fur in the winter helps some animals to keep warm.	part		Growing thicker fur	keep warm	
207	Many birds fly south for the winter. This adaptation is called migration.	condition		Many birds fly south for the winter	migration	
208	Winter season is a season of the year during which a rabbits fur would be thickest.	requirement		Winter season	a rabbits fur would be thickest	
209	It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Precipitation followed by evaporation made the puddle form and then disappear.	example		Precipitation followed by evaporation 	form and then disappear	
210	Some butterflies live an average of two weeks. This period of time is called a life span.	cause		live a average of two weeks	life span	
211	A stove is used to boil water in a pan is an example in which a thermometer could be used to show that heat energy is being transferred.	condition		A stove is used to boil water in a pan	a thermometer could be used to show that heat energy is being transferred	
212	A decomposer is an organism that recycles nutrients.	enable		decomposer	recycles nutrients	
213	A student drops a ball. Gravity causes the ball to fall to the ground.	cause		Gravity	the ball to fall to the ground	
214	A student measured the volume of water in a pan. The student boiled the water for thirty minutes and then measured the volume of the water again. The volume of water most likely decreased.	purpose		The student boiled the water	decreased	
215	When a baby shakes a rattle, it makes a noise. Mechanical energy was changed to sound energy.	effect		a baby shakes a rattle	Mechanical energy was changed to sound energy	
216	If an object is attracted to a magnet, the object is most likely made of metal.	requirement		an object is attracted to a magnet	the object is most likely made of metal	
217	In New York State, the longest period of daylight occurs during June.	condition		the longest period of daylight	during June	
218	Rotation of Earth causes day and night.	example		Rotation of Earth	day and night	
219	An iron nail is the best conductor of electricity.	enable		iron nail	conductor of electricity	
220	Sight can be used to determine an objects ability to reflect light.	example		Sight	determine an objects ability to reflect light	
221	A pumpkin is a fruit.	enable		pumpkin	a fruit	
222	Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things go through a life cycle.	enable		sequence of changes	how living things go through a life cycle	
223	A student should use a graduated cylinder to measure exactly 10 milliliters (mL) of water.	example		a graduated cylinder	measure the volume of a liquid	
224	Gravity causes rocks to roll downhill.	effect		Gravity	rocks to roll downhill	
225	A decomposer is an organism that recycles nutrients.	effect		decomposer	recycles nutrients	
226	Chemical energy is found in food.	effect		Chemical energy	found in food	
227	A metal fork is the best conductor of electricity.	requirement		a metal fork	conductor of electricity	
228	A girl eating an apple describes an organism taking in nutrients.	example		A girl eating an apple	an organism taking in nutrients	
229	Windy, cloudy, rainy, and cold are words that help describe weather.	purpose		Windy, cloudy, rainy, and cold	describe weather	
230	A puppy can inherit spotted fur from its parents.	effect		puppy	spotted fur from its parents	
231	It takes one week for Earth to rotate on its axis seven times.	cause		Earth to rotate	one week	
232	A simple machine that helps move a flag up a flagpole is a pulley.	cause		pulley	move a flag up a flagpole	
233	All animals do need water, air, and food in order to survive.	effect		water, air and food	survive	
234	When an ice cube melts, its state of matter changes from a solid to a liquid.	effect		an ice cube melts	state of matter changes from a solid to a liquid	
235	Temperature and sky conditions are both used to describe weather.	requirement		Temperature and sky conditions	describe	
236	A student should use a balance to compare the masses of two small rocks.	enable		balance	compare the masses of two small rocks	
237	Polluting most often has a harmful effect on the environment.	example		Polluting	environment	
238	Sleet and hail are forms of precipitation.	effect		Sleet and hail	precipitation	
239	Humans depend on water from the environment.	purpose		water	humans	
240	Windy, cloudy, rainy, and cold are words that help describe weather.	condition		Windy, cloudy, rainy, and cold	describe weather	
241	A student drops a ball. Gravity causes the ball to fall to the ground.	part		Gravity	the ball to fall to the ground	
242	Apple trees can live for many years, but bean plants usually live for only a few months. This statement suggests that different plants have different life spans.	purpose		statement	different plants have different life spans	
243	Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things go through a life cycle.	purpose		sequence of changes	how living things go through a life cycle	
244	An objects hardness, taste, and texture are examples of properties.	enable		hardness, taste, and texture	properties	
245	Polluting most often has a harmful effect on the environment.	effect		Polluting	environment	
246	A thick fur would best help a bear to survive a winter in New York State.	purpose		thick fur	survive in winter	
247	A meter describes an object's length.	condition		meter	describes an object's length	
248	Apple trees can live for many years, but bean plants usually live for only a few months. This statement suggests that different plants have different life spans.	cause		statement	different plants have different life spans	
249	The movement of soil by wind or water is called erosion.	effect		movement of soil by wind or water	erosion	
250	In New York State, the shortest period of daylight occurs during December.	part		the shortest period of daylight	during December	
251	Some butterflies live an average of two weeks. This period of time is called a life span.	part		live a average of two weeks	life span	
252	Since green plants make their own food, they are called producers.	condition		green plants make their own food	producers	
253	A meter describes an object's length.	requirement		meter	describes an object's length	
254	Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things go through a life cycle.	example		sequence of changes	how living things go through a life cycle	
255	A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because light energy can be reflected from one object to another.	condition		light energy can be reflected from one object to another	see the signal	
256	Coloration often helps an animal attract a mate.	requirement		Coloration	attract a mate	
257	Growth causes the leaves of a plant to become larger.	part		Growth	leaves of a plant to become larger	
258	A puddle drying in the sun is the best example of evaporation.	cause		puddle drying in the sun	evaporation	
259	A fox grows thicker fur as a season changes. This adaptation helps the fox to keep warmer.	cause		A fox grows thicker fur	keep warmer	
260	A simple machine that helps move a flag up a flagpole is a pulley.	part		pulley	move a flag up a flagpole	
261	The length of daylight in New York State changes from summer to fall by decreasing.	example		The length of daylight	changes from summer to fall by decreasing	
262	The functions of a plant's roots are to support the plant and take in water and nutrients.	effect		roots	support the plant and take in water and nutrients	
263	A decomposer is an organism that breaks down dead plants and animals.	enable		decomposer	breaks down dead plants and animals	
264	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. If the day were cool instead of hot, the rainwater in the pan would have disappeared slower.	enable		day were cool	disappeared slower	
265	A snowy field is an environment in which a white rabbit would be best protected from predators.	purpose		snowy field	be best protected from predators	
266	An example of a poor health habit is eating candy instead of lunch.	part		eating candy instead of lunch	a poor health habit	
267	If an object is attracted to a magnet, the object is most likely made of metal.	cause		an object is attracted to a magnet	the object is most likely made of metal	
268	A girl eating an apple describes an organism taking in nutrients.	part		A girl eating an apple	an organism taking in nutrients	
269	A student drops a ball. Gravity causes the ball to fall to the ground.	effect		Gravity	the ball to fall to the ground	
270	One way animals usually respond to a sudden drop in temperature is by shivering.	purpose		shivering	respond to a sudden drop in temperature	
271	Gravity causes a marble to sink to the bottom of a glass of water.	part		Gravity	a marble to sink to the bottom of a glass of water	
272	Growth causes the leaves of a plant to become larger.	enable		Growth	leaves of a plant to become larger	
273	When a person speaks into a telephone, sound energy is changed mostly into electrical energy.	enable		speaks into a telephone	sound energy is changed into electricity energy	
274	A student should use a graduated cylinder to measure exactly 10 milliliters (mL) of water.	purpose		a graduated cylinder	measure the volume of a liquid	
275	In New York State, the shortest period of daylight occurs during December.	example		the shortest period of daylight	during December	
276	A decomposer is an organism that recycles nutrients.	condition		decomposer	recycles nutrients	
277	The functions of a plant's roots are to support the plant and take in water and nutrients.	condition		roots	support the plant and take in water and nutrients	
278	Fourth graders are planning a roller-skate race. Blacktop would be the best for this race.	purpose		Blacktop	this race	
279	An example of a poor health habit is eating candy instead of lunch.	enable		eating candy instead of lunch	a poor health habit	
280	A mother hen clucks loudly when danger is near and her chicks quickly gather around her. Sound helps the chicks receive this warning about danger from their mother.	enable		Sound	receive this warning about danger	
281	A student puts two identical plants in the same type and amount of soil. She gives them the same amount of water. She puts one of these plants near a sunny window and the other in a dark room. This experiment tests how the plants respond to light.	example		experiment tests	how the plants respond to light	
282	A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because light energy can be reflected from one object to another.	effect		light energy can be reflected from one object to another	see the signal	
283	A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to hot temperatures.	condition		opens its mouth and lets its tongue hang out	adjust to hot temperatures	
284	Chemical energy is found in food.	purpose		Chemical energy	found in food	
285	A snowy field is an environment in which a white rabbit would be best protected from predators.	effect		snowy field	be best protected from predators	
286	A student drops a ball. Gravity causes the ball to fall to the ground.	example		Gravity	the ball to fall to the ground	
287	Water is usually found in nature as a liquid, solid, and gas.	purpose		Water	liquid, solid, and gas	
288	Temperature and sky conditions are both used to describe weather.	purpose		Temperature and sky conditions	describe	
289	A person does use mechanical energy to pedal a bicycle.	enable		mechanical energy	pedal a bicycle	
290	When an ice cube melts, its state of matter changes from a solid to a liquid.	part		an ice cube melts	state of matter changes from a solid to a liquid	
291	Polluting most often has a harmful effect on the environment.	condition		Polluting	environment	
292	Cutting down a rain forest is most harmful to the natural environment.	example		Cutting down a rain forest	natural environment	
293	Sleet, rain, snow, and hail are forms of precipitation.	effect		Sleet, rain, snow, and hail	precipitation	
